1,wallstreetbets,2021-05-19,gymzggm,gym2yye
2,wallstreetbets,2021-05-19,gymzgik,nfklff
3,wallstreetbets,2021-05-19,gymzgof,gymz747
4,wallstreetbets,2021-05-19,gymzgre,gylg965
5,wallstreetbets,2021-05-19,gymzgs8,gymxry3
6,wallstreetbets,2021-05-19,gymzgzi,gykdd9a
7,wallstreetbets,2021-05-19,gymzh8o,gymgpi4
8,wallstreetbets,2021-05-19,gymzh91,gylz553
9,wallstreetbets,2021-05-19,gymzhaj,nfklff
10,wallstreetbets,2021-05-19,gymzhj5,gymzd8p
11,wallstreetbets,2021-05-19,gymzhjf,gymxc4a
12,wallstreetbets,2021-05-19,gymzhjh,gym1w6j
