,Adj Close
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,74.19999694824219
2021-01-05,74.19999694824219
2021-01-06,72.19999694824219
2021-01-07,72.0
2021-01-08,71.4000015258789
2021-01-09,71.4000015258789
2021-01-10,71.4000015258789
2021-01-11,71.19999694824219
2021-01-12,71.19999694824219
2021-01-13,71.0
2021-01-14,71.5999984741211
2021-01-15,68.5999984741211
2021-01-16,68.5999984741211
2021-01-17,68.5999984741211
2021-01-18,71.0
2021-01-19,68.80000305175781
2021-01-20,69.4000015258789
2021-01-21,68.4000015258789
2021-01-22,69.80000305175781
2021-01-23,69.80000305175781
2021-01-24,69.80000305175781
2021-01-25,69.4000015258789
2021-01-26,69.4000015258789
2021-01-27,66.19999694824219
2021-01-28,65.5999984741211
2021-01-29,68.4000015258789
2021-01-30,68.4000015258789
2021-01-31,68.4000015258789
2021-02-01,69.0
2021-02-02,70.5999984741211
2021-02-03,69.4000015258789
2021-02-04,68.19999694824219
2021-02-05,69.4000015258789
2021-02-06,69.4000015258789
2021-02-07,69.4000015258789
2021-02-08,68.80000305175781
2021-02-09,68.0
2021-02-10,66.80000305175781
2021-02-11,66.0
2021-02-12,65.5999984741211
2021-02-13,65.5999984741211
2021-02-14,65.5999984741211
2021-02-15,68.0
2021-02-16,68.4000015258789
2021-02-17,68.19999694824219
2021-02-18,68.0
2021-02-19,69.5999984741211
2021-02-20,69.5999984741211
2021-02-21,69.5999984741211
2021-02-22,70.0
2021-02-23,70.4000015258789
2021-02-24,70.4000015258789
2021-02-25,71.4000015258789
2021-02-26,69.19999694824219
2021-02-27,69.19999694824219
2021-02-28,69.19999694824219
2021-03-01,69.5999984741211
2021-03-02,70.80000305175781
2021-03-03,70.5999984741211
2021-03-04,69.80000305175781
2021-03-05,70.4000015258789
2021-03-06,70.4000015258789
2021-03-07,70.4000015258789
2021-03-08,70.5999984741211
2021-03-09,71.19999694824219
2021-03-10,70.4000015258789
2021-03-11,70.5999984741211
2021-03-12,71.80000305175781
2021-03-13,71.80000305175781
2021-03-14,71.80000305175781
2021-03-15,70.80000305175781
2021-03-16,70.5999984741211
2021-03-17,71.80000305175781
2021-03-18,71.80000305175781
2021-03-19,70.80000305175781
2021-03-20,70.80000305175781
2021-03-21,70.80000305175781
2021-03-22,71.80000305175781
2021-03-23,71.5999984741211
2021-03-24,70.80000305175781
2021-03-25,71.5999984741211
2021-03-26,71.5999984741211
2021-03-27,71.5999984741211
2021-03-28,71.5999984741211
2021-03-29,72.0
2021-03-30,71.19999694824219
2021-03-31,71.0
2021-04-01,71.0
2021-04-02,71.0
2021-04-03,71.0
2021-04-04,71.0
2021-04-05,71.0
2021-04-06,71.19999694824219
2021-04-07,71.19999694824219
2021-04-08,72.80000305175781
2021-04-09,72.5999984741211
2021-04-10,72.5999984741211
2021-04-11,72.5999984741211
2021-04-12,72.80000305175781
2021-04-13,72.4000015258789
2021-04-14,72.5999984741211
2021-04-15,73.4000015258789
2021-04-16,73.4000015258789
2021-04-17,73.4000015258789
2021-04-18,73.4000015258789
2021-04-19,73.80000305175781
2021-04-20,73.5999984741211
2021-04-21,72.5999984741211
2021-04-22,73.0
2021-04-23,73.0
2021-04-24,73.0
2021-04-25,73.0
2021-04-26,74.0
2021-04-27,73.80000305175781
2021-04-28,73.5999984741211
2021-04-29,74.0
2021-04-30,74.0
2021-05-01,74.0
2021-05-02,74.0
2021-05-03,77.80000305175781
